station,valid,lon,lat,tmpc,drct,sknt
JSO,2011-02-01 00:10,-95.2200,31.8700,16.00,110.00,3.00
HQZ,2011-02-01 00:10,-96.5304,32.7470,12.00,30.00,5.00
BKS,2011-02-01 00:13,-98.1211,27.2067,23.00,120.00,12.00
VKY,2011-02-01 00:15,-88.4410,29.2480,16.00,130.00,4.00
BBF,2011-02-01 00:15,-96.0140,27.8330,21.00,130.00,15.00
MIU,2011-02-01 00:15,-96.7367,27.2917,21.00,140.00,15.00
TPL,2011-02-01 00:15,-97.4078,31.1525,17.00,80.00,9.00
PRX,2011-02-01 00:15,-95.4507,33.6366,12.00,70.00,4.00
OCH,2011-02-01 00:15,-94.7094,31.5778,16.00,null,null
OPM,2011-02-01 00:15,-96.9400,26.8328,20.00,110.00,10.00
HYI,2011-02-01 00:15,-97.8630,29.8927,22.00,170.00,14.00
MWL,2011-02-01 00:15,-98.0602,32.7816,8.00,40.00,8.00
CRH,2011-02-01 00:15,-93.3016,28.9086,16.00,110.00,16.00
RAS,2011-02-01 00:15,-97.0900,27.8100,18.00,0.00,null
HQI,2011-02-01 00:15,-93.6708,27.9620,21.00,110.00,12.00
PWG,2011-02-01 00:15,-97.3165,31.4849,16.00,60.00,6.00
ILE,2011-02-01 00:15,-97.6865,31.0858,18.00,80.00,7.00
BQX,2011-02-01 00:15,-95.7244,28.4936,16.00,90.00,6.00
EMK,2011-02-01 00:15,-94.3228,27.8186,21.00,130.00,17.00
BGD,2011-02-01 00:15,-101.3937,35.7009,-6.00,20.00,17.00
MZG,2011-02-01 00:15,-96.1911,27.7269,21.00,null,null
VAF,2011-02-01 00:15,-94.6253,27.3536,21.00,140.00,14.00
GUL,2011-02-01 00:15,-93.5383,27.3039,21.00,0.00,null
SPL,2011-02-01 00:15,-97.1572,26.0706,19.00,110.00,7.00
TME,2011-02-01 00:15,-95.8979,29.8050,20.00,130.00,11.00
NGP,2011-02-01 00:17,-97.2911,27.6926,20.00,120.00,10.00
NGP,2011-02-01 00:17,-97.2911,27.6926,20.00,120.00,10.00
PSX,2011-02-01 00:17,-96.2500,28.7300,19.00,120.00,12.00
NGP,2011-02-01 00:17,-97.2911,27.6926,20.00,120.00,10.00
NGP,2011-02-01 00:17,-97.2911,27.6926,20.00,120.00,10.00
NGP,2011-02-01 00:17,-97.2911,27.6926,20.00,120.00,10.00
RBD,2011-02-01 00:18,-96.8700,32.6800,13.00,50.00,9.00
HOU,2011-02-01 00:19,-95.2824,29.6375,18.00,100.00,7.00
DTO,2011-02-01 00:19,-97.1989,33.2061,8.00,20.00,11.00
RFI,2011-02-01 00:20,-94.8517,32.1417,15.50,90.00,4.00
GVT,2011-02-01 00:20,-96.0653,33.0678,12.00,50.00,4.00
EFD,2011-02-01 00:20,-95.1587,29.6073,16.00,100.00,10.00
MKN,2011-02-01 00:20,-98.6000,31.9200,11.00,10.00,11.00
