station,valid,lon,lat,tmpc
MWL,2017-12-07 00:05,-98.0602,32.7816,null
OCH,2017-12-07 00:05,-94.7094,31.5778,null
ODO,2017-12-07 00:05,-102.3867,31.9206,null
PIL,2017-12-07 00:05,-97.3378,26.1597,null
PRX,2017-12-07 00:05,-95.4507,33.6366,null
PSX,2017-12-07 00:05,-96.2500,28.7300,null
PWG,2017-12-07 00:05,-97.3165,31.4849,null
RBD,2017-12-07 00:05,-96.8700,32.6800,null
RKP,2017-12-07 00:05,-97.0464,28.0836,null
SAT,2017-12-07 00:05,-98.4698,29.5337,null
SGR,2017-12-07 00:05,-95.6565,29.6223,null
SJT,2017-12-07 00:05,-100.4950,31.3517,null
SPS,2017-12-07 00:05,-98.4928,33.9786,null
SSF,2017-12-07 00:05,-98.4711,29.3370,null
TKI,2017-12-07 00:05,-96.5900,33.1800,null
TPL,2017-12-07 00:05,-97.4078,31.1525,null
TRL,2017-12-07 00:05,-96.2700,32.7100,null
TYR,2017-12-07 00:05,-95.4024,32.3541,null
UTS,2017-12-07 00:05,-95.5872,30.7469,null
VCT,2017-12-07 00:05,-96.9303,28.8614,null
RKP,2017-12-07 00:06,-97.0464,28.0836,7.78
BIF,2017-12-07 00:07,-106.3800,31.8495,7.00
JCT,2017-12-07 00:09,-99.7664,30.5108,3.89
ABI,2017-12-07 00:10,-99.6821,32.4106,null
ACT,2017-12-07 00:10,-97.2283,31.6180,null
AFW,2017-12-07 00:10,-97.3179,32.9716,null
ALI,2017-12-07 00:10,-98.0269,27.7409,null
AMA,2017-12-07 00:10,-101.7059,35.2194,null
AUS,2017-12-07 00:10,-97.6699,30.1945,null
BAZ,2017-12-07 00:10,-98.0450,29.7090,null
BGD,2017-12-07 00:10,-101.3937,35.7009,null
BMQ,2017-12-07 00:10,-98.2386,30.7389,null
BPT,2017-12-07 00:10,-94.0200,29.9500,null
BRO,2017-12-07 00:10,-97.4231,25.9146,null
CDS,2017-12-07 00:10,-100.2881,34.4339,null
CLL,2017-12-07 00:10,-96.3639,30.5881,null
COT,2017-12-07 00:10,-99.2183,28.4567,null
CRS,2017-12-07 00:10,-96.4000,32.0300,null
CXO,2017-12-07 00:10,-95.4145,30.3524,null
DAL,2017-12-07 00:10,-96.8518,32.8471,null
